timestamp,instance_type,az_name,price
2025-08-09T09:16:40Z,g4dn.xlarge,us-east-1a,0.2131
2025-08-09T09:32:03Z,g5.xlarge,us-east-1b,0.4485
2025-08-09T10:17:44Z,g5.xlarge,us-west-2a,0.5098
2025-08-09T10:31:59Z,p3.2xlarge,us-east-1b,0.9085
2025-08-09T13:46:25Z,g4dn.xlarge,us-west-2a,0.2211
2025-08-09T13:47:37Z,g5.xlarge,us-west-2a,0.51
2025-08-09T14:16:40Z,g4dn.xlarge,us-east-1b,0.2245
2025-08-09T14:32:28Z,p3.2xlarge,us-west-2a,0.9409
2025-08-09T16:03:19Z,g5.xlarge,us-east-1b,0.4474
2025-08-09T16:46:45Z,g5.xlarge,us-east-1a,0.4212
2025-08-09T17:01:55Z,p3.2xlarge,us-east-1a,0.7644
2025-08-09T17:32:11Z,g4dn.xlarge,us-east-1a,0.2126
2025-08-09T18:16:55Z,p3.2xlarge,us-east-1b,0.9139
2025-08-09T20:16:39Z,g4dn.xlarge,us-east-1b,0.2221
2025-08-09T20:32:36Z,g5.xlarge,us-west-2a,0.5078
2025-08-09T21:46:44Z,g5.xlarge,us-east-1a,0.4181
2025-08-09T22:16:35Z,g4dn.xlarge,us-west-2a,0.2197
2025-08-09T22:17:20Z,p3.2xlarge,us-east-1a,0.7638
2025-08-09T23:31:50Z,p3.2xlarge,us-west-2a,0.9372
2025-08-10T01:03:09Z,g4dn.xlarge,us-east-1b,0.2228
2025-08-10T01:03:48Z,g5.xlarge,us-east-1b,0.4486
2025-08-10T01:17:16Z,g4dn.xlarge,us-east-1a,0.2124
2025-08-10T02:02:43Z,p3.2xlarge,us-east-1b,0.9199
2025-08-10T03:02:25Z,g5.xlarge,us-west-2a,0.5067
2025-08-10T04:17:43Z,p3.2xlarge,us-east-1a,0.7664
2025-08-10T05:01:55Z,g5.xlarge,us-east-1a,0.4196
2025-08-10T06:47:20Z,g5.xlarge,us-west-2a,0.5093
2025-08-10T07:02:37Z,g5.xlarge,us-east-1b,0.4483
2025-08-10T07:16:32Z,g4dn.xlarge,us-west-2a,0.2216
2025-08-10T07:16:39Z,g4dn.xlarge,us-east-1b,0.2234
2025-08-10T07:32:09Z,p3.2xlarge,us-west-2a,0.9399
2025-08-10T08:17:29Z,p3.2xlarge,us-east-1b,0.9253
2025-08-10T08:46:41Z,g4dn.xlarge,us-east-1a,0.2125
2025-08-10T10:47:37Z,g5.xlarge,us-east-1b,0.4507
2025-08-10T11:32:36Z,p3.2xlarge,us-east-1a,0.7689
2025-08-10T13:16:25Z,g4dn.xlarge,us-west-2a,0.223
2025-08-10T13:17:15Z,g5.xlarge,us-west-2a,0.503
2025-08-10T13:31:40Z,g4dn.xlarge,us-east-1b,0.2213
2025-08-10T13:46:45Z,g5.xlarge,us-east-1a,0.4215
2025-08-10T15:31:36Z,p3.2xlarge,us-east-1b,0.9321
2025-08-10T15:32:25Z,p3.2xlarge,us-west-2a,0.9436
2025-08-10T16:32:13Z,g4dn.xlarge,us-east-1a,0.21
2025-08-10T18:01:44Z,g5.xlarge,us-east-1b,0.4478
2025-08-10T18:18:00Z,p3.2xlarge,us-east-1a,0.7694
2025-08-10T18:31:41Z,g5.xlarge,us-west-2a,0.502
2025-08-10T19:16:41Z,g4dn.xlarge,us-west-2a,0.2242
2025-08-10T19:46:35Z,p3.2xlarge,us-east-1b,0.9338
2025-08-10T19:46:39Z,g4dn.xlarge,us-east-1b,0.2215
2025-08-10T22:02:25Z,g5.xlarge,us-east-1a,0.4207
2025-08-10T22:16:42Z,p3.2xlarge,us-west-2a,0.9491
2025-08-10T22:31:39Z,g4dn.xlarge,us-east-1a,0.2106
2025-08-10T22:47:05Z,g5.xlarge,us-east-1b,0.4483
2025-08-10T23:17:17Z,p3.2xlarge,us-east-1b,0.9386
2025-08-11T01:17:06Z,p3.2xlarge,us-east-1a,0.7764
2025-08-11T02:01:31Z,g4dn.xlarge,us-west-2a,0.2255
2025-08-11T02:17:26Z,g5.xlarge,us-west-2a,0.5043
2025-08-11T02:46:51Z,g5.xlarge,us-east-1a,0.4176
2025-08-11T02:46:52Z,p3.2xlarge,us-west-2a,0.9541
2025-08-11T03:17:25Z,p3.2xlarge,us-east-1b,0.9457
2025-08-11T04:31:40Z,g4dn.xlarge,us-east-1b,0.2227
2025-08-11T04:46:38Z,g4dn.xlarge,us-east-1a,0.2088
2025-08-11T05:47:20Z,g5.xlarge,us-east-1b,0.4458
2025-08-11T06:47:12Z,g4dn.xlarge,us-west-2a,0.2266
2025-08-11T07:17:07Z,p3.2xlarge,us-east-1b,0.9509
2025-08-11T07:46:40Z,g4dn.xlarge,us-east-1b,0.2216
2025-08-11T08:47:09Z,p3.2xlarge,us-east-1a,0.781
2025-08-11T09:31:43Z,g5.xlarge,us-west-2a,0.5059
2025-08-11T10:16:50Z,g4dn.xlarge,us-east-1a,0.2091
2025-08-11T10:46:55Z,g5.xlarge,us-east-1a,0.4185
2025-08-11T11:02:37Z,p3.2xlarge,us-west-2a,0.9476
2025-08-11T11:31:44Z,g4dn.xlarge,us-west-2a,0.2272
2025-08-11T12:46:29Z,g5.xlarge,us-west-2a,0.5092
2025-08-11T12:47:21Z,p3.2xlarge,us-east-1b,0.955
2025-08-11T13:16:44Z,g5.xlarge,us-east-1b,0.446
2025-08-11T14:02:23Z,p3.2xlarge,us-east-1a,0.7848
2025-08-11T15:02:31Z,p3.2xlarge,us-west-2a,0.9497
2025-08-11T15:46:52Z,g4dn.xlarge,us-east-1b,0.2195
2025-08-11T18:02:15Z,g5.xlarge,us-east-1a,0.4177
2025-08-11T18:32:30Z,p3.2xlarge,us-east-1b,0.9498
2025-08-11T19:17:21Z,g4dn.xlarge,us-east-1a,0.2083
2025-08-11T19:32:16Z,p3.2xlarge,us-east-1a,0.7903
2025-08-11T20:16:56Z,g4dn.xlarge,us-west-2a,0.2307
2025-08-11T20:32:31Z,g5.xlarge,us-west-2a,0.5117
2025-08-11T20:47:05Z,g5.xlarge,us-east-1b,0.4451
2025-08-11T21:16:50Z,g4dn.xlarge,us-east-1b,0.2199
2025-08-11T22:31:44Z,g5.xlarge,us-east-1a,0.4178
2025-08-11T22:47:49Z,p3.2xlarge,us-west-2a,0.9566
2025-08-11T23:47:19Z,p3.2xlarge,us-east-1a,0.7959
2025-08-12T00:46:51Z,g4dn.xlarge,us-east-1a,0.2076
